filename,genre,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
Pain_of_Salvation_-_The_Perfect_Element_I_-_02._In_the_Flesh.mp3,prog,0.44784048093413936,0.18060073256492615,2676.251544185103,3078.4589925146815,5654.298294300983,27.093634537938474,-119.7901930274526,150.10083487009712,-27.418517487691126,38.734519427425106,-7.096569518313013,24.124340066192698,-12.472713854908406,12.711441834102,-6.883137448666844,9.669339231570582,2.168906048257884,4.3156340849076456,2.4127568619762,-0.4903659591236122,2.483265634566646,1.6268758395532306,1.300968349398703,-0.726323732945964,3.166847943636114,-4.626591763876834
06._Anekdoten_-_Our_Days_Are_Numbered.mp3,prog,0.5070867762185062,0.14860475063323975,2058.250872297297,2634.319047474869,4142.646124661633,18.848509745397884,-160.8403150465299,162.6113781409098,-33.61416268551566,41.443252572912016,3.7092528701659235,22.275231534950716,-1.7951277919004018,7.904881609399769,-0.7342170704738682,1.2777779001587517,4.749530838995227,-2.532715931742956,3.479399333467226,-0.6085511692244587,2.8689895056816,-2.333532615512885,-0.12836341093778356,0.6219720200188241,-2.045416513941053,-0.757098705415506
07_-_Fool's_Overture.mp3,prog,0.4075773829166491,0.10353998839855194,2264.5646978301693,2650.7771628812748,4476.638467987263,18.92643864254154,-210.15332382615617,142.10121310564952,-23.70979052870406,23.154378183708626,-1.5833585144762548,10.465785943651017,-7.309904062830316,1.1655261967876733,-3.9500667783947945,-2.5490638074779195,-2.8408876074691256,-3.6897077278150867,-1.316054525985318,-4.43148836930576,-3.04285711149348,-3.140866491469293,-0.6037904138869516,-1.2305704306757472,0.1403269580070656,-1.2831000348684047
02._The_Road_Of_Bones.mp3,prog,0.4498906988149438,0.1930444836616516,2432.794798005139,3270.1429921521944,4941.092693276049,20.49671805095189,-186.42287993624512,138.37098822182227,13.757333421447642,37.81065983708238,4.618151141256491,14.54323999332285,-7.5573916418084925,-0.37304970053356495,-5.744040425606538,-2.1229558364559034,-7.7980849963493455,-1.9550636939658994,-6.413418097853924,-2.1801631300844915,-6.03185266805012,-2.4634281027925535,-6.3856754202552874,-2.5301175976472683,-6.936997463706917,-3.158463803358761
La_conquista_della_posizione_eretta.mp3,prog,0.3727258482728387,0.1058119609951973,2065.7320725972345,2440.6771297150135,4045.6879925003886,23.43671076783037,-215.21958034505826,163.1397472329627,-25.80065425301659,35.446768745659355,-1.2746858939756491,10.170056952929691,-8.688824689305445,-1.5344961367735983,-3.713686654332738,-6.831298297400627,-2.7091389806641235,-4.047143179013324,-0.5891631735283851,-3.7623738573707284,-2.6559796450248703,-5.056070614986236,-3.63583858006543,-4.153382175862085,-3.7473521187291774,-3.3556250872288054
02_-_Odyssey.mp3,prog,0.39188417308482776,0.11059068888425827,2723.3454204773216,2989.492013674446,5550.529550100158,34.40391618482701,-162.9512109656375,148.71374660296343,-42.768272097204104,39.14432058340793,-9.912540736695101,18.027735896591963,-12.87755166521808,8.154749341731968,-7.33575679845443,5.459248015388648,-0.8907290723915682,0.5448872586908374,-2.381044446981108,-0.9465883989135461,-2.7480378413938547,-2.1981575767304826,-2.901153719684658,-0.09591765623922303,-0.45102242393787634,-0.47806731082569076
"01-The_Bryden_2-Step_(For_Amphibians),_Pt.1.mp3",prog,0.4136170921634883,0.09650493413209915,2910.1517307936324,3635.196338682314,5932.549880257865,25.071441162434176,-210.82250379607336,130.6846913730263,-16.715893496857507,29.691556640449917,9.387327234194904,7.539811860121857,-0.6670832508153958,1.9252002209502619,-4.991158161732245,-2.6120484347608697,-1.8037350521953597,-1.8226977818349697,-0.694874453928447,3.371588063310809,-3.896278215264489,-4.89921215354257,-8.943612148874951,-3.7551093435013847,-7.40656984530303,-4.677094589814204
01-Sospesi_Nell'Incredibile.mp3,prog,0.43611732181545587,0.23036488890647888,3905.7324247683027,3840.251831516861,8167.119962826147,40.22170494501677,-110.62135186187193,115.00874974080706,-15.903578561674909,43.398115974139934,-18.64964780202228,35.127668315537456,-13.01986599309849,15.345224944756167,-14.496324162998045,10.241217641756464,-3.2636192074844614,9.474027103184449,-2.275510022461664,0.87453960468322,-4.454671395021398,-2.4139700176769576,-1.331758723461762,-3.2210258585378058,0.18678457519112665,-4.453338533343833
05_Schism.mp3,prog,0.5494140803349439,0.15082721412181854,2655.720143381933,2821.9354602769745,5322.723083026673,32.904730488575595,-157.652106492512,141.24113477760918,-42.95319973655794,35.67005418912085,28.544899711270624,21.98792402577564,2.101124921532569,12.758088569797756,-3.869657640324755,7.5019394180043175,-3.6056971574780423,3.8228762000471384,-0.9613400753823682,4.309939727705086,0.09838218402593926,0.7040895418355655,-4.175380792831166,-0.6211489187681416,-1.8543201422521909,-1.7705255909662256
12_-_The_Garden.mp3,prog,0.4540137492618509,0.1985449343919754,2592.6859233959412,2892.384496028971,4994.114717495347,36.22696270330452,-98.52083636245767,152.12301090601449,-46.212909883738114,33.342653695515445,-1.441409674685713,13.501258508191203,-6.475492644182897,11.27148686348549,-3.4330470574714584,2.5000698681506432,-1.423014121167238,3.4496104277325608,-4.68223281168691,-0.252491297507259,-4.695763771163397,-0.26598749606512345,-4.618511771146696,2.687186588772486,-3.2358238511145534,-1.8891124846653762
